# BJD         RV1   E_RV1 RV2    E_RV2 FLAG
  7319.167661 65.5  3.6   -85.3  5.3   0   
  7676.177014 -39.3 3.8   158.0  5.5   0   
  7760.99193  18.4  3.8   100.8  16.6  1   
  7761.138395 -34.0 3.6   128.0  5.8   1   
  7762.010052 -26.4 3.6   160.8  5.7   0   
  7762.155933 -16.6 3.6   133.0  5.6   0   
  7762.984112 -22.9 3.6   154.8  6.0   0   
  7790.937987 67.3  3.6   -69.1  5.3   0   
  7861.864535 3.5   3.6   214.3  20.2  1   
  7862.886516 63.6  3.6   -91.8  5.5   0   
  7863.884667 79.7  3.6   -101.9 5.5   0   
  7879.851154 -14.8 3.6   115.7  5.2   0   
  7978.31959  15.8  3.9   -130.2 10.2  1   
  7979.307161 -30.5 3.6   141.3  6.2   0   
  7994.278648 62.6  3.6   -50.8  5.5   0   
  7994.302272 62.2  3.6   -70.5  6.2   0   
  7995.250407 80.6  3.7   -108.0 6.0   0   
  7995.273314 81.5  3.6   -116.3 5.8   0   
  7995.296094 85.1  3.7   -98.0  5.3   0   
  8044.16585  78.8  3.6   -102.4 5.1   0   
  8044.189544 76.4  3.6   -116.8 5.3   0   
  8044.215044 85.1  3.7   -109.5 5.2   0   
  8044.237985 78.9  3.6   -115.2 5.3   0   
  8044.259914 82.3  3.6   -112.1 5.2   0   
  8045.166104 75.4  3.6   -90.1  5.2   0   
  8045.189185 64.7  3.6   -81.6  5.2   0   
  8045.21186  56.1  3.6   -64.9  5.2   0   
  8045.234177 52.3  3.6   -38.1  5.3   0   
  8045.252622 49.4  3.6   -16.1  5.9   0   
  8071.107982 1.7   3.7   -90.6  5.8   1   
  8071.132011 4.4   3.6   92.8   6.7   0   
  8071.155404 -13.3 3.5   102.2  5.3   0   
  8071.178484 -20.1 3.5   124.2  5.2   0   
  8071.202212 -20.2 3.5   139.6  5.2   0   
  8071.225998 -31.8 3.6   148.4  5.2   0   
  8071.248673 -33.5 3.6   159.2  5.2   0   
  8091.083233 -30.4 3.6   158.2  5.3   0   
  8091.103534 -23.7 3.6   152.2  5.3   0   
  8091.178826 -1.4  3.8   104.5  5.7   0   
  8092.087344 19.0  3.7   103.1  15.5  1   
  8092.108802 22.9  3.7   115.3  13.7  1   
  8092.134115 32.4  3.7   -119.4 10.4  1   
  8092.16054  43.1  3.6   -218.7 999.0 1   
  8092.209279 61.4  3.6   -64.8  5.4   0   
  8092.233088 67.8  3.8   -82.4  5.8   0   
  8093.017192 43.0  3.6   -102.7 13.2  1   
  8093.041602 51.1  3.7   -41.5  5.5   0   
  8096.159547 -31.1 3.6   168.5  5.5   0   
  8096.182777 -36.2 3.6   165.7  6.0   0   
  8096.200265 -32.0 3.6   174.0  5.3   0   
  8097.052699 -32.2 3.6   165.3  5.4   0   
  8097.077422 -38.2 3.6   159.1  5.5   0   
  8097.158812 -14.3 3.6   125.1  5.4   0   
  8097.181196 -15.4 3.6   101.8  5.3   0   
  8097.205641 -2.1  3.7   80.8   5.5   0   
  8097.228859 3.9   3.6   74.4   9.7   1   
  8156.031633 58.4  3.6   -45.7  5.3   0   
  8156.054143 48.0  3.6   -34.1  5.6   0   
  8156.076572 37.0  3.6   41.9   999.0 1   
  8156.099024 30.8  3.6   -112.4 10.5  1   
  8218.906952 -14.2 3.6   107.9  5.7   0   
  8218.926904 -19.6 3.6   125.1  5.8   0   
  8219.882333 -34.4 3.6   170.9  5.4   0   
  8219.905121 -27.5 3.6   175.8  5.5   0   
  8219.927757 -28.6 3.6   166.1  5.5   0   
