# BJD           FLUX       E_FLUX    
  8468.287023   1.001877   0.001659  
  8468.307836   0.97097    0.001642  
  8468.328649   0.855411   0.001584  
  8468.349523   0.826677   0.00157   
  8468.370336   0.933829   0.001624  
  8468.412023   0.998329   0.001657  
  8468.432836   0.997605   0.001657  
  8468.453649   1.002162   0.001658  
  8468.474524   1.003623   0.001659  
  8468.495337   1.001536   0.001659  
  8468.51615    0.99993    0.00166   
  8468.537024   0.993112   0.001653  
  8468.557837   0.992344   0.001654  
  8468.57865    0.985596   0.001651  
  8468.599524   0.983604   0.00165   
  8468.620337   0.980004   0.001647  
  8468.64115    0.972201   0.001644  
  8468.662024   0.966888   0.00164   
  8468.682837   0.959086   0.001636  
  8468.70365    0.949901   0.001633  
  8468.724524   0.943704   0.001627  
  8468.745337   0.843976   0.001576  
  8468.76615    0.677648   0.001484  
  8468.787024   0.737787   0.001518  
  8468.807837   0.910882   0.001612  
  8468.82865    0.948119   0.001629  
  8468.849524   0.957348   0.001633  
  8468.870337   0.962527   0.001636  
  8468.89115    0.967592   0.00164   
  8468.912024   0.975681   0.001643  
  8468.932837   0.981929   0.001649  
  8468.974524   0.987828   0.001648  
  8468.995337   0.989785   0.001654  
  8469.01615    0.995853   0.001651  
  8469.037024   0.996681   0.00165   
  8469.057837   0.996345   0.001651  
  8469.099524   0.998053   0.001651  
  8469.120398   0.991224   0.001649  
  8469.141212   0.995312   0.00165   
  8469.162025   0.981792   0.001644  
  8469.182899   0.880202   0.00159   
  8469.203712   0.822533   0.001559  
  8469.224525   0.900636   0.001602  
  8469.245399   0.991574   0.001649  
  8469.266212   0.997693   0.001649  
  8469.287025   0.995855   0.001651  
  8469.307899   1.002797   0.001649  
  8469.328712   1.004748   0.001651  
  8469.349525   1.003377   0.001651  
  8469.370399   1.0031     0.001651  
  8469.391212   1.003556   0.001649  
  8469.412025   0.994294   0.001647  
  8469.432899   0.993573   0.001646  
  8469.453713   0.990422   0.001643  
  8469.474526   0.986112   0.001641  
  8469.4954     0.979939   0.001638  
  8469.516213   0.975531   0.001636  
  8469.537026   0.965559   0.001629  
  8469.5579     0.959028   0.001625  
  8469.578713   0.952126   0.001623  
  8469.599526   0.886546   0.00159   
  8469.6204     0.705055   0.001492  
  8469.641213   0.702535   0.00149   
  8469.662026   0.884314   0.001586  
  8469.6829     0.954996   0.001623  
  8469.703713   0.960547   0.001626  
  8469.724526   0.963097   0.001627  
  8469.7454     0.972771   0.001632  
  8469.766213   0.982465   0.001636  
  8469.787026   0.985123   0.001639  
  8469.8079     0.99338    0.001642  
  8469.828713   0.995262   0.001642  
  8469.849526   0.995811   0.001642  
  8469.8704     0.996994   0.001645  
  8469.891213   0.996713   0.001645  
  8469.912026   1.00263    0.001647  
  8469.932901   0.998755   0.001644  
  8469.953714   1.002863   0.001646  
  8469.974527   1.002185   0.001645  
  8469.995401   0.999354   0.001645  
  8470.016214   0.995802   0.001642  
  8470.037027   0.912226   0.0016    
  8470.057901   0.826914   0.001556  
  8470.078714   0.875538   0.00158   
  8470.099527   0.984789   0.001637  
  8470.120401   0.999324   0.001643  
  8470.141214   1.001298   0.001645  
  8470.162027   1.002985   0.001645  
  8470.182901   1.002048   0.001645  
  8470.203714   1.003683   0.001646  
  8470.224527   1.00308    0.001645  
  8470.245402   1.004786   0.001645  
  8470.266215   1.000829   0.001644  
  8470.287028   0.995157   0.001642  
  8470.307902   0.993727   0.00164   
  8470.328715   0.983745   0.001635  
  8470.349528   0.976856   0.001631  
  8470.370402   0.972518   0.00163   
  8470.391215   0.968364   0.001626  
  8470.412028   0.961586   0.001624  
  8470.432902   0.956083   0.00162   
  8470.453715   0.921356   0.001603  
  8470.474528   0.741139   0.001508  
  8470.495403   0.675467   0.001473  
  8470.516216   0.842835   0.001562  
  8470.537029   0.951416   0.001618  
  8470.557903   0.959038   0.001623  
  8470.578716   0.962569   0.001623  
  8470.599529   0.973315   0.001628  
  8470.620403   0.9771     0.001631  
  8470.641216   0.982215   0.001634  
  8470.662029   0.986771   0.001635  
  8470.682903   0.99102    0.001637  
  8470.703716   0.995786   0.001641  
  8470.724529   1.000643   0.001642  
  8470.745403   0.999185   0.001641  
  8470.766216   1.001762   0.001642  
  8470.787029   0.99853    0.001641  
  8470.807903   1.004259   0.001643  
  8470.828716   0.997019   0.001641  
  8470.849529   1.000992   0.001643  
  8470.870404   0.996734   0.00164   
  8470.891217   0.938322   0.00161   
  8470.91203    0.835179   0.001558  
  8470.932904   0.856007   0.001567  
  8470.953717   0.964957   0.001623  
  8470.97453    0.996173   0.001639  
  8470.995404   1.001371   0.001643  
  8471.016217   1.000695   0.001642  
  8471.03703    1.003497   0.001645  
  8471.057904   1.003983   0.001643  
  8471.078717   1.004939   0.001643  
  8471.09953    1.001082   0.00164   
  8471.120404   1.003823   0.001645  
  8471.141218   1.005871   0.001643  
  8471.162031   0.993606   0.001638  
  8471.182905   0.993963   0.001637  
  8471.203718   0.982131   0.001632  
  8471.224531   0.978294   0.001633  
  8471.245405   0.970199   0.001627  
  8471.266218   0.960469   0.001621  
  8471.287031   0.956086   0.001618  
  8471.307905   0.940399   0.00161   
  8471.328718   0.785826   0.001531  
  8471.349532   0.667744   0.001465  
  8471.370406   0.79656    0.001537  
  8471.391219   0.938255   0.001614  
  8471.412032   0.957693   0.001621  
  8471.432906   0.966557   0.001623  
  8471.453719   0.968105   0.001625  
  8471.474532   0.973132   0.001628  
  8471.495406   0.978954   0.001629  
  8471.557906   0.989235   0.001633  
  8471.578719   0.996121   0.001637  
  8471.620407   0.994947   0.001635  
  8471.70372    0.992287   0.001636  
  8471.724533   0.99835    0.00164   
  8471.745346   0.957594   0.00162   
  8471.766159   0.848068   0.001561  
  8471.787033   0.8338     0.001555  
  8471.828659   0.99722    0.001639  
  8471.849533   0.998837   0.001642  
  8471.870346   0.994639   0.001638  
  8471.89116    0.998825   0.00164   
  8471.912034   0.998324   0.001638  
  8471.932847   1.003258   0.001645  
  8471.95366    0.997747   0.00164   
  8471.974534   0.9989     0.001639  
  8471.995347   0.99331    0.001637  
  8472.037034   0.98276    0.001631  
  8472.057847   0.976581   0.00163   
  8472.07866    0.971182   0.001628  
  8472.099534   0.965922   0.001624  
  8472.120348   0.961066   0.001623  
  8472.162035   0.945108   0.001616  
  8472.182848   0.82864    0.001553  
  8472.203661   0.668089   0.001467  
  8472.224535   0.751667   0.001514  
  8472.245348   0.917646   0.001602  
  8472.266161   0.956608   0.001621  
  8472.287035   0.957118   0.001621  
  8472.307849   0.961747   0.001624  
  8472.328662   0.969411   0.001625  
  8472.349536   0.97369    0.001631  
  8472.370349   0.983351   0.001635  
  8472.391162   0.989133   0.001637  
  8472.412036   0.993693   0.00164   
  8472.432849   0.992818   0.001641  
  8472.453662   0.993952   0.001642  
  8472.474536   0.994844   0.001643  
  8472.49535    0.998743   0.001643  
  8472.516163   0.997989   0.001645  
  8472.537037   1.001662   0.001644  
  8472.578663   1.005471   0.001647  
  8472.599537   0.983726   0.001636  
  8472.62035    0.873376   0.00158   
  8472.641163   0.820813   0.001552  
  8472.662037   0.913226   0.001601  
  8472.68285    0.995109   0.001644  
  8472.703663   1.0012     0.001645  
  8472.724538   0.998635   0.001643  
  8472.745351   0.999934   0.001646  
  8472.766164   1.002362   0.001649  
  8472.787038   1.000448   0.001645  
  8472.807851   0.997216   0.00165   
  8472.828664   1.002378   0.001647  
  8472.849538   0.995088   0.001643  
  8472.870351   0.994076   0.001642  
  8472.891164   0.986981   0.001639  
  8472.912038   0.98183    0.001637  
  8472.932851   0.974679   0.001633  
  8472.953665   0.968104   0.00163   
  8472.974539   0.96119    0.001626  
  8472.995352   0.955052   0.001624  
  8473.016165   0.951413   0.001622  
  8473.037039   0.87572    0.001582  
  8473.057852   0.693847   0.001486  
  8473.078665   0.712809   0.001496  
  8473.099539   0.892907   0.001593  
  8473.120352   0.95627    0.001624  
  8473.141166   0.958076   0.001629  
  8473.16204    0.966564   0.00163   
  8473.182853   0.976973   0.001634  
  8473.203666   0.975945   0.001635  
  8473.22454    0.981981   0.001637  
  8473.245353   0.987219   0.00164   
  8473.266166   0.986812   0.001642  
  8473.28704    0.998705   0.001647  
  8473.307854   0.994593   0.001645  
  8473.328667   1.000211   0.001646  
  8473.349541   0.997726   0.001646  
  8473.370354   0.997121   0.001646  
  8473.391167   1.002163   0.001649  
  8473.412041   0.998702   0.001648  
  8473.432854   0.998005   0.001646  
  8473.453667   0.98982    0.001643  
  8473.474542   0.899828   0.001598  
  8473.495355   0.821303   0.001557  
  8473.516168   0.884403   0.001589  
  8473.537042   0.986244   0.001639  
  8473.557855   0.999316   0.001648  
  8473.578668   1.001485   0.001648  
  8473.599542   0.998951   0.001647  
  8473.620355   1.005567   0.00165   
  8473.641168   1.001893   0.001649  
  8473.662043   1.004114   0.00165   
  8473.682856   0.998751   0.001649  
  8473.703669   0.998307   0.001648  
  8473.724543   0.994193   0.001646  
  8473.745356   0.989996   0.001644  
  8473.766169   0.983261   0.00164   
  8473.787043   0.979735   0.001639  
  8473.807856   0.969924   0.001633  
  8473.828669   0.963236   0.001631  
  8473.849544   0.957409   0.001628  
  8473.870357   0.950678   0.001625  
  8473.89117    0.905828   0.001602  
  8473.912044   0.726397   0.001506  
  8473.932857   0.683336   0.001483  
  8473.95367    0.85565    0.001576  
  8473.974544   0.954837   0.001625  
  8473.995357   0.957111   0.001628  
  8474.203672   1.000848   0.00165   
  8474.224546   1.0022     0.001651  
  8474.245359   0.998566   0.001648  
  8474.266172   0.998404   0.001648  
  8474.287046   0.997821   0.001649  
  8474.307859   0.993374   0.001646  
  8474.328673   0.929906   0.001616  
  8474.349547   0.829534   0.001562  
  8474.37036    0.859545   0.001577  
  8474.391173   0.976654   0.001636  
  8474.412047   0.998991   0.001649  
  8474.43286    0.999144   0.001647  
  8474.453673   0.99965    0.001651  
  8474.474548   1.002      0.001649  
  8474.495361   1.00415    0.001649  
  8474.516174   1.000044   0.001649  
  8474.537048   0.999679   0.001649  
  8474.557861   0.998158   0.001647  
  8474.578674   0.996314   0.001645  
  8474.599548   0.987924   0.001644  
  8474.620361   0.985412   0.00164   
  8474.662049   0.970076   0.001632  
  8474.724549   0.953725   0.001621  
  8474.745362   0.928563   0.001613  
  8474.766175   0.762351   0.001524  
  8474.787049   0.666455   0.001476  
  8474.807863   0.81301    0.00155   
  8474.828676   0.945513   0.00162   
  8474.84955    0.95582    0.001623  
  8474.870363   0.965291   0.001628  
  8474.891176   0.966921   0.00163   
  8474.91205    0.973994   0.001634  
  8474.932863   0.981653   0.001635  
  8474.953676   0.982093   0.001636  
  8474.974551   0.989342   0.001646  
  8474.995364   0.994651   0.001642  
  8479.016192   0.949009   0.001647  
  8479.037005   0.936946   0.001639  
  8479.057818   0.79455    0.001565  
  8479.078692   0.666183   0.00149   
  8479.099505   0.781643   0.001554  
  8479.120318   0.934393   0.001634  
  8479.141192   0.954216   0.001644  
  8479.162005   0.958236   0.001645  
  8479.182818   0.964311   0.001649  
  8479.203692   0.974406   0.001654  
  8479.224505   0.979943   0.001654  
  8479.245318   0.982475   0.001656  
  8479.266192   0.989181   0.00166   
  8479.287005   0.997887   0.001658  
  8479.307818   0.993312   0.001659  
  8479.328692   1.00104    0.00166   
  8479.349505   0.997907   0.001662  
  8479.370318   0.999538   0.00166   
  8479.391192   1.001459   0.001661  
  8479.412005   1.001039   0.001665  
  8479.432818   1.00001    0.001659  
  8479.453692   0.997993   0.001659  
  8479.474505   0.968478   0.001643  
  8479.495318   0.856532   0.001587  
  8479.516192   0.827031   0.001569  
  8479.537005   0.932615   0.001622  
  8479.557818   0.997838   0.001658  
